stock_id,report_date,strat_trading_date,reporting_time,before_after_market,period,period_end_date,shift_days,ok
3,2014-11-06,2014-11-06,0 days 21:00:00,after,FY2014Q3,2014-09-30,0,True
3,2015-02-19,2015-02-19,0 days 21:00:00,after,FY2014Q4,2014-12-31,0,True
3,2015-05-07,2015-05-07,0 days 20:00:00,after,FY2015Q1,2015-03-31,0,True
3,2015-08-06,2015-08-06,0 days 20:00:00,after,FY2015Q2,2015-06-30,0,True
3,2015-11-05,2015-11-05,0 days 21:00:00,after,FY2015Q3,2015-09-30,0,True
1,2014-02-27,2014-02-26,0 days 13:30:00,before,FY2013Q4,2013-12-31,-1,True
1,2014-05-09,2014-05-08,0 days 12:30:00,before,FY2014Q1,2014-03-31,-1,True
1,2014-08-01,2014-07-31,0 days 12:30:00,before,FY2014Q2,2014-06-30,-1,True
1,2014-10-31,2014-10-30,0 days 12:30:00,before,FY2014Q3,2014-09-30,-1,True
1,2015-02-18,2015-02-17,0 days 13:30:00,before,FY2014Q4,2014-12-31,-1,True
