year,sp500_midyear_removed,missing_from_prices,example_tickers
2010,12,12,"ACS, BDK, BJS, BNI"
2011,14,12,"AYE, CEPH, GENZ, JNS"
2012,15,13,"ANRZQ, ATGE, CPWR, EP"
2013,14,9,"APOL, BIG, BMC, CVH"
2014,13,8,"BEAM, BTUUQ, FRX, IGT"
2015,24,19,"AVP, CFN, COV, DNR"
2016,25,20,"ARG, BRCM, BXLT, CAM"
2017,27,17,"AABA, BBBY, DNB, ENDP"
2018,22,15,"AET, ANDV, CA, CHK"
2019,21,14,"APC, BHGE, CELG, DWDP"
2020,19,11,"ADS, AGN, ARNC, CTL"
2021,17,9,"ALXN, COG, CXO, FLIR"
2022,22,17,"ANTM, BLL, CERN, CTXS"
2023,19,8,"ABC, ATVI, DISH, FRC"
2024,17,6,"CDAY, FLT, MRO, PEAK"
