year,stock_days,pct_pass_price,pct_pass_adv,pct_pass_vol,pct_pass_earnings,pct_eligible
2010,252000,98.3,94.7,95.6,98.7,91.9
2011,251999,99.0,99.3,99.9,97.8,96.1
2012,249999,98.7,99.0,99.9,97.9,95.8
2013,251999,99.3,99.1,100.0,98.2,96.6
2014,252000,99.4,99.5,100.0,97.7,96.8
2015,251998,99.7,99.7,100.0,96.4,95.8
2016,251998,99.6,99.6,99.9,96.3,95.4
2017,251000,99.7,99.7,100.0,96.2,95.6
2018,250999,99.8,99.7,100.0,96.1,95.6
2019,251995,99.6,99.7,99.9,96.0,95.3
2020,253000,99.7,99.8,97.9,95.9,93.5
2021,252000,100.0,99.8,99.9,95.7,95.5
2022,251000,99.9,99.8,99.9,95.6,95.3
2023,249985,99.8,99.8,99.9,95.5,95.1
2024,252000,100.0,99.9,99.9,95.4,95.1
