year,n_total,n_PRICE_FAIL,n_ADV_FAIL,n_VOL_FAIL,n_EARN_WINDOW,n_OK,ok_pct
2010,252000,4247,13402,11014,3208,231668,91.9
2011,251999,2611,1841,198,5557,242078,96.1
2012,249999,3362,2449,179,5146,239446,95.8
2013,251999,1758,2274,96,4601,243467,96.6
2014,252000,1467,1178,100,5695,243889,96.8
2015,251998,865,827,19,9053,241418,95.8
2016,251998,1131,1116,297,9404,240371,95.4
2017,251000,852,779,39,9614,239948,95.6
2018,250999,404,876,94,9810,240014,95.6
2019,251995,1048,764,165,9991,240213,95.3
2020,253000,738,516,5188,10308,236487,93.5
2021,252000,4,507,195,10720,240577,95.5
2022,251000,304,441,335,10929,239159,95.3
2023,249985,405,500,160,11311,237654,95.1
2024,252000,108,251,370,11663,239657,95.1
