aum_label,adv_bucket,median_adv20,median_annual_vol20,participation_cap,is_headline_cap,median_sqrt_impact_bps,diagnostic_interpretation
50M,low_adv,34923695.95,0.2608047362184659,0.01,False,11.50040787969768,Lower participation sensitivity diagnostic.
50M,mid_adv,136378762.2695,0.33548553263897885,0.01,False,14.793521463713015,Lower participation sensitivity diagnostic.
50M,high_adv,593893205.4755,0.42360434517472084,0.01,False,18.67919586031125,Lower participation sensitivity diagnostic.
50M,low_adv,34923695.95,0.2608047362184659,0.025,False,18.183741460396185,Lower participation sensitivity diagnostic.
50M,mid_adv,136378762.2695,0.33548553263897885,0.025,False,23.39061121996054,Lower participation sensitivity diagnostic.
50M,high_adv,593893205.4755,0.42360434517472084,0.025,False,29.534401889485967,Lower participation sensitivity diagnostic.
50M,low_adv,34923695.95,0.2608047362184659,0.05,True,25.715693787978235,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
50M,mid_adv,136378762.2695,0.33548553263897885,0.05,True,33.079319619464485,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
50M,high_adv,593893205.4755,0.42360434517472084,0.05,True,41.767951708688614,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
250M,low_adv,34923695.95,0.2608047362184659,0.01,False,11.50040787969768,Lower participation sensitivity diagnostic.
250M,mid_adv,136378762.2695,0.33548553263897885,0.01,False,14.793521463713015,Lower participation sensitivity diagnostic.
250M,high_adv,593893205.4755,0.42360434517472084,0.01,False,18.67919586031125,Lower participation sensitivity diagnostic.
250M,low_adv,34923695.95,0.2608047362184659,0.025,False,18.183741460396185,Lower participation sensitivity diagnostic.
250M,mid_adv,136378762.2695,0.33548553263897885,0.025,False,23.39061121996054,Lower participation sensitivity diagnostic.
250M,high_adv,593893205.4755,0.42360434517472084,0.025,False,29.534401889485967,Lower participation sensitivity diagnostic.
250M,low_adv,34923695.95,0.2608047362184659,0.05,True,25.715693787978235,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
250M,mid_adv,136378762.2695,0.33548553263897885,0.05,True,33.079319619464485,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
250M,high_adv,593893205.4755,0.42360434517472084,0.05,True,41.767951708688614,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
1B,low_adv,34923695.95,0.2608047362184659,0.01,False,11.50040787969768,Lower participation sensitivity diagnostic.
1B,mid_adv,136378762.2695,0.33548553263897885,0.01,False,14.793521463713015,Lower participation sensitivity diagnostic.
1B,high_adv,593893205.4755,0.42360434517472084,0.01,False,18.67919586031125,Lower participation sensitivity diagnostic.
1B,low_adv,34923695.95,0.2608047362184659,0.025,False,18.183741460396185,Lower participation sensitivity diagnostic.
1B,mid_adv,136378762.2695,0.33548553263897885,0.025,False,23.39061121996054,Lower participation sensitivity diagnostic.
1B,high_adv,593893205.4755,0.42360434517472084,0.025,False,29.534401889485967,Lower participation sensitivity diagnostic.
1B,low_adv,34923695.95,0.2608047362184659,0.05,True,25.715693787978235,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
1B,mid_adv,136378762.2695,0.33548553263897885,0.05,True,33.079319619464485,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
1B,high_adv,593893205.4755,0.42360434517472084,0.05,True,41.767951708688614,5% is an aggressive upper bound under the square-root diagnostic; headline backtest costs follow the fixed Brief Section 6.3 schedule.
