diagnostic,value,detail
standard_net_sharpe,0.5382466752863132,Annualised daily Sharpe with zero risk-free rate.
lo_adjusted_net_sharpe_lag5,0.5271394947304003,Autocorrelation-adjusted Sharpe using lags 1-5.
lag1_autocorrelation,-0.01638782259683613,Daily net-return autocorrelation.
top_5pct_days_net_return_sum,0.9931307225317313,Sum of the best 189 daily net returns.
total_net_return_sum,0.3012264233787836,Arithmetic sum of all daily net returns.
top_5pct_days_share_of_total_sum,3.296957522490973,Negative values can occur when total net return is negative.
worst_rolling_3m_return,-0.050004395059009665,63 trading-day window ending 2024-05-23.
worst_rolling_6m_return,-0.05130082599987418,126 trading-day window ending 2024-08-26.
worst_rolling_12m_return,-0.04469140356301582,252 trading-day window ending 2022-10-28.
annual_net_sharpe_2010,,Net Sharpe for calendar year 2010.
annual_net_sharpe_2011,,Net Sharpe for calendar year 2011.
annual_net_sharpe_2012,,Net Sharpe for calendar year 2012.
annual_net_sharpe_2013,,Net Sharpe for calendar year 2013.
annual_net_sharpe_2014,,Net Sharpe for calendar year 2014.
annual_net_sharpe_2015,,Net Sharpe for calendar year 2015.
annual_net_sharpe_2016,,Net Sharpe for calendar year 2016.
annual_net_sharpe_2017,,Net Sharpe for calendar year 2017.
annual_net_sharpe_2018,0.4172205199798829,Net Sharpe for calendar year 2018.
annual_net_sharpe_2019,0.35667116760660056,Net Sharpe for calendar year 2019.
annual_net_sharpe_2020,2.8865991706183873,Net Sharpe for calendar year 2020.
annual_net_sharpe_2021,0.44558416929709016,Net Sharpe for calendar year 2021.
annual_net_sharpe_2022,-0.9182435731187495,Net Sharpe for calendar year 2022.
annual_net_sharpe_2023,-0.9150580294691101,Net Sharpe for calendar year 2023.
annual_net_sharpe_2024,0.7476436879395623,Net Sharpe for calendar year 2024.
